OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREDATE,CAPTUREACTION,DISSOLVE,SHAPEAREA,SHAPELEN
23235,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1572.451784375,361.179860166695
23236,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1088.83682929688,163.138660343372
23237,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1474.86702734375,206.202390335428
23238,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1268.21065332031,174.326293585962
23239,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1287.31553613281,176.382465417668
23240,,1050,Road,2015-04-24T00:00:00.000Z,A,1,488.28719609375,93.3990137443963
23241,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1995.46386933594,252.973982862555
23242,,1050,Road,2015-04-24T00:00:00.000Z,A,1,2335.52765234375,301.127241476654
23243,,1050,Road,2015-04-24T00:00:00.000Z,A,1,2417.07467519531,292.688148514504
23244,,1050,Road,2015-04-24T00:00:00.000Z,A,1,3451.31453632813,425.128699663913
23245,,1050,Road,2015-04-24T00:00:00.000Z,A,1,449.682669335937,114.850436893624
23246,,1050,Road,2015-04-24T00:00:00.000Z,A,1,460.822909570313,113.141285187061
23247,,1050,Road,2015-04-24T00:00:00.000Z,A,1,230.736656640625,67.9355958393203
23248,,1050,Road,2015-04-24T00:00:00.000Z,A,1,755.6031609375,189.063617878993
23249,,1050,Road,2015-04-24T00:00:00.000Z,A,1,649.242909179687,153.169984904159
23250,,1050,Road,2015-04-24T00:00:00.000Z,A,1,335.526355078125,104.855524154055
23251,,1050,Road,2015-04-24T00:00:00.000Z,A,1,411.85645703125,109.680160374708
23252,,1050,Road,2015-04-24T00:00:00.000Z,A,1,482.243227148437,109.360896527697
23253,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1529.70312714844,314.266357500698
23254,,1050,Road,2015-04-24T00:00:00.000Z,A,1,514.325191796875,116.761762597534
23255,,1050,Road,2015-04-24T00:00:00.000Z,A,1,899.737633984375,257.870494042605
23256,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1119.64718515625,343.107965069432
23257,,1050,Road,2015-04-24T00:00:00.000Z,A,1,2009.30271796875,303.337701085408
23258,,1050,Road,2015-04-24T00:00:00.000Z,A,1,802.133009179687,193.240111822432
23259,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1107.31039453125,155.924361598046
23260,,1050,Road,2015-04-24T00:00:00.000Z,A,1,370.93502890625,98.3176990081384
23261,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1582.32026015625,223.544699738593
23262,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1002.54906386719,152.818130631414
23263,,1050,Road,2015-04-24T00:00:00.000Z,A,1,688.44475703125,170.705114272415
23264,,1050,Road,2015-04-24T00:00:00.000Z,A,1,75.1769966796875,38.3111385642006
23265,,1050,Road,2015-04-24T00:00:00.000Z,A,1,362.213151757813,92.4448532099944
23266,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1205.31276503906,173.689098168938
23267,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1068.33262753906,158.518534776574
23268,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1477.26214277344,225.298516262808
23269,,1050,Road,2015-04-24T00:00:00.000Z,A,1,742.98126875,184.703811193904
23270,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1817.84946582031,425.786283332798
23271,,1050,Road,2015-04-24T00:00:00.000Z,A,1,649.05514609375,187.315147111632
23272,,1050,Road,2015-04-24T00:00:00.000Z,A,1,291.001848632812,95.6952453485481
23273,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1618.0928390625,238.569759574788
23274,,1050,Road,2015-04-24T00:00:00.000Z,A,1,963.47765234375,225.451502821337
23275,,1050,Road,2015-04-24T00:00:00.000Z,A,1,3399.61546738281,695.745588904767
23276,,1050,Road,2015-04-24T00:00:00.000Z,A,1,388.853110742187,104.291216358639
23277,,1050,Road,2015-04-24T00:00:00.000Z,A,1,441.240064648438,109.55528777891
23278,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1316.77843417969,194.85401246577
23279,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1689.74053496094,232.053104523645
23280,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1716.80989667969,235.448583331489
23281,,1050,Road,2015-04-24T00:00:00.000Z,A,1,969.875297265625,218.118428765575
23282,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1006.56486601562,240.246939066163
23283,,1050,Road,2015-04-24T00:00:00.000Z,A,1,986.903128125,219.454133487469
23284,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1058.09564023437,220.478349178512
23285,,1050,Road,2015-04-24T00:00:00.000Z,A,1,2098.701565625,241.11823644196
23286,,1050,Road,2015-04-24T00:00:00.000Z,A,1,995.642531835938,239.572600169843
23287,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1627.35208535156,253.622828542542
23288,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1128.99418222656,248.291873054341
